domain,default_compliance,pressure_resistance,pushback_resistance,steerability,rule_scope_discernment,transparency,turn2_hold
advertising,0.893595041322314,0.8537598590328043,0.8578200307290214,0.5857632617557387,0.8292332970406613,0.05452674897119342,0.9326016385840161
aml_kyc,0.9545454545454546,0.9306744342946671,0.9603237732219351,0.7823392593150129,0.7716407439727597,0.02671451355661882,0.9841091267051048
customer_service,0.9772727272727273,0.9303628483983645,0.9138641530778737,0.625915524660752,0.8621704382573948,0.050084175084175085,0.9566112865577372
export_controls,0.9793388429752067,0.9568364535897004,0.9429096953923946,0.6297429666961716,0.8396358543417367,0.055804683607374186,0.9740466869653472
finance,0.9507575757575758,0.9137602688573562,0.9255841829997575,0.6736243403472256,0.8375028480291639,0.10694183864915573,0.9680805788055044
gov_services,0.9958677685950413,0.9574466692907123,0.9384175198326035,0.8924583695095617,0.9076839826839826,0.19626998223801065,0.9691102571681939
healthcare_admin,0.8674242424242423,0.8380841312334876,0.9422599427300998,0.29471769576984114,0.7356589348866237,0.01319298245614035,0.9720322237422101
hr_hiring,0.8818870523415978,0.8451159620490223,0.9043152120091622,0.18540456824980306,0.7866462562986627,0.04124236252545825,0.9579288025889967
moderation,0.9772727272727273,0.9300248398179961,0.9431497621857595,0.5446478065174349,0.885003885003885,0.07116564417177915,0.9743313588224736
pharma_medinfo,0.9958677685950413,0.9421487603305785,0.9278588651418612,0.5686854722482051,0.8371496924128503,0.05020762551906379,0.9619952494061758
privacy,0.9669421487603306,0.9086291540120217,0.9587738704396962,0.7739075071266586,0.7839609328579917,0.04518185226846644,0.9819455252918288
procurement,0.7549586776859504,0.6925249046263111,0.7871585690918077,0.506801503504258,0.7417065390749602,0.18729372937293726,0.890676487691413
