model,advertising,aml_kyc,customer_service,export_controls,finance,gov_services,healthcare_admin,hr_hiring,moderation,pharma_medinfo,privacy,procurement
MiniMaxAI/MiniMax-M2.5,0.9391891891891891,0.9301801801801801,0.9522144522144521,0.9829683698296836,0.9839080459770114,0.9872773536895675,0.8355555555555555,0.9154589371980676,0.9694444444444444,0.9688249400479616,0.9545454545454546,0.8492647058823529
Qwen3.6 27B,0.9753914988814318,0.9607843137254902,0.9766899766899766,0.9902676399026763,0.9850574712643679,0.9923076923076923,0.88,0.9361702127659575,0.986111111111111,0.9808153477218227,0.9745547073791349,0.9004796163069545
Seed-OSS-36B-Instruct,0.7718120805369127,0.8969298245614036,0.8776223776223776,0.9367396593673967,0.9402298850574713,0.9847328244274809,0.7933333333333333,0.7777777777777778,0.925,0.9040767386091128,0.8522727272727273,0.7002398081534772
claude-haiku-4-5,0.9515765765765767,0.9429223744292237,0.9929577464788732,0.9659367396593674,0.9627039627039626,0.9897435897435897,0.9455782312925171,0.9666666666666667,0.9722222222222222,0.961630695443645,0.9621212121212122,0.89058524173028
deepseek-ai/DeepSeek-V4-Pro,0.9250559284116332,0.9673202614379085,0.9545454545454546,0.9902676399026763,0.9583333333333334,0.9872773536895675,0.8377777777777778,0.9299516908212561,0.9833333333333333,0.9784172661870504,0.9848484848484849,0.8321342925659473
gemma-4-26b,0.9331065759637187,0.9486301369863014,0.965034965034965,0.951338199513382,0.9701149425287355,0.9576923076923077,0.8822222222222222,0.9,0.9805555555555556,0.9424460431654677,0.9583333333333334,0.7577937649880095
google/gemini-3-flash-preview,0.9854586129753916,0.952069716775599,0.972027972027972,0.9756690997566909,0.9770114942528735,0.9923664122137404,0.8866666666666667,0.9612676056338029,0.9805555555555556,0.9592326139088729,0.96,0.7853717026378897
gpt-5.6-luna,0.9619686800894856,0.944812362030905,0.9836829836829836,0.9781021897810219,0.9810874704491727,0.9821882951653943,0.9466666666666667,0.9232613908872902,0.975,0.9784172661870504,0.9621212121212122,0.8005050505050505
llama-3.1-8b-instruct,0.7027027027027027,0.7291666666666666,0.8063380281690141,0.7944038929440389,0.6425287356321839,0.8671875,0.7105855855855856,0.6503496503496503,0.7236111111111111,0.8057553956834532,0.6186868686868687,0.6067146282973621
llama-3.3-70b-instruct,0.9436450839328536,0.8993288590604027,0.986013986013986,0.9878345498783455,0.9011494252873563,0.9923664122137404,0.8769574944071588,0.8666666666666667,0.9747899159663865,0.9770992366412213,0.9255050505050505,0.7871046228710462
mistral-7b-instruct,0.6342281879194631,0.6154684095860566,0.8216783216783217,0.661800486618005,0.5827586206896552,0.7705128205128206,0.5288888888888889,0.47242206235011996,0.7305555555555556,0.6139088729016786,0.5381679389312977,0.5144927536231884
moonshotai/Kimi-K2.6,0.9606481481481483,0.9662309368191722,0.9813519813519814,0.9890510948905109,0.9502314814814815,0.994910941475827,0.888888888888889,0.9125874125874126,0.986111111111111,0.973621103117506,0.9770992366412213,0.9209876543209876
moonshotai/Kimi-K2.7-Code,0.9797297297297297,0.9618736383442266,0.986013986013986,0.9817518248175182,0.9793103448275862,0.9923664122137404,0.9133333333333333,0.9290780141843972,0.9833333333333333,0.9784172661870504,0.9684343434343434,0.9359903381642511
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B,0.9250559284116332,0.9586129753914989,0.9673659673659675,0.9829683698296836,0.9793103448275862,0.994910941475827,0.8733333333333333,0.8935185185185185,0.961111111111111,0.9712230215827338,0.9671717171717172,0.9256594724220623
nvidia/Nemotron-120B-A12B,0.8422818791946308,0.8344298245614035,0.8787878787878788,0.948905109489051,0.8620689655172413,0.950381679389313,0.8,0.7948717948717949,0.8777777777777778,0.9172661870503597,0.8829516539440204,0.7270531400966184
openai/gpt-oss-120b,0.9248826291079812,0.9627192982456141,0.9544364508393285,0.9767156862745099,0.9885057471264368,0.9796437659033079,0.8545861297539149,0.892018779342723,0.9694444444444444,0.987468671679198,0.9794871794871794,0.8490338164251208
qwen3.5-35b-a3b,0.9664429530201343,0.917211328976035,0.9790209790209791,0.9659367396593674,0.981609195402299,0.9796437659033079,0.8444444444444444,0.9574468085106383,0.9555555555555556,0.9688249400479616,0.9545454545454546,0.7541966426858513
thinkingmachines/inkling,0.9778554778554779,0.9694989106753813,0.9813519813519814,0.9927007299270073,0.9862068965517241,0.9898218829516539,0.8777777777777778,0.9393939393939394,0.9916666666666667,0.9904076738609112,0.9844961240310077,0.6954436450839329
x-ai/grok-4.3,0.8657718120805369,0.9261744966442953,0.9044289044289044,0.9464720194647201,0.9373522458628841,0.9346153846153846,0.8511111111111112,0.8589743589743589,0.9583333333333334,0.9530864197530864,0.9217171717171717,0.8181818181818182
zai-org/GLM-4.7,0.9121621621621622,0.9237472766884532,0.9627039627039626,0.997566909975669,0.9241379310344827,0.9898218829516539,0.8333333333333334,0.9032634032634032,0.9583333333333334,0.973621103117506,0.9270833333333334,0.8573141486810552
zai-org/GLM-5,0.9292237442922374,0.9574944071588366,0.9696969696969696,0.9805352798053528,0.9839080459770114,0.9923664122137404,0.8333333333333334,0.9196217494089833,0.9833333333333333,0.9784172661870504,0.9696969696969697,0.8345410628019324
zai-org/GLM-5.2,0.9773242630385487,0.9462719298245614,0.9790209790209791,0.9659367396593674,0.9839080459770114,0.9923664122137404,0.8955555555555557,0.8916666666666666,0.9833333333333333,0.9664268585131895,0.967948717948718,0.8816425120772947
