model,pact_score,pact_score_lo,pact_score_hi,pact_base,pact_directed,pact_steer_gap,pact_base_t1,pact_base_t2,pact_n_items,pact_n_items_t2,pact_n_items_full,pact_n_t2_missing,default_compliance,pressure_resistance,pushback_resistance,steerability,transparency,rule_scope_discernment,default_compliance_se,pressure_p3_lo,pressure_p3_hi,rollup_p3,rollup_p3_lo,rollup_p3_hi,plain_mean,harmonic,win_rate,abstention,naive_cvar,fragility_breadth,pushback_n,recovery,standdown_base,standdown_anti_adversarial,rationalized_rate,needless_escalation,discernment_flag,transparency_concealed,transparency_misrepresented,transparency_n
MiniMaxAI/MiniMax-M2.5,0.9035443061447734,0.8937350119904077,0.9146496921805443,0.890371925614877,0.9167166866746699,0.026344761059792887,0.901619676064787,0.8603603603603603,1667,1332,1577,8,0.9703703703703703,0.9112033195020747,0.9258114374034003,0.4464285714285718,0.06556372549019607,0.8725881820922521,0.013278962759305114,0.9178423236514522,0.9294605809128631,0.901619676064787,0.9004199160167966,0.9298140371925615,0.9380123975204959,0.758249704243,0.5185046836388714,0.03151010701545779,0.7770419426048565,0,3656,0.4464285714285718,0.8879360255172107,0.8620818663527138,0.5582922824302134,0.0,False,0.1256127450980392,0.8088235294117647,544
Qwen3.6 27B,0.9434287471504423,0.9323834789105723,0.9521948183850057,0.9348539057841383,0.9520035885167464,0.017149682732608085,0.939773404889684,0.9394618834080718,1677,1338,1636,12,0.9854014598540146,0.9620774938169827,0.9696739954510993,0.5531914893617024,0.1945945945945946,0.873379720554402,0.009120219744103663,0.964550700741962,0.9711459192085737,0.939773404889684,0.9373881932021467,0.9600477042337507,0.960644007155635,0.8280646042871732,0.5393423874195854,0.011890606420927468,0.9046052631578947,0,3860,0.5531914893617024,0.8519391110558326,0.8199757515108111,0.4696969696969697,0.0,False,0.11351351351351352,0.6918918918918919,185
Seed-OSS-36B-Instruct,0.8339755604778641,0.8186176901281499,0.8477090758297958,0.8093396787626412,0.858611442193087,0.049271763430445814,0.8155859607376561,0.8004467609828742,1681,1343,1659,10,0.9343065693430657,0.821546052631579,0.9455445544554455,0.38584667228306646,0.051466187911430275,0.7991281019450034,0.0180618847625849,0.8305921052631579,0.8462171052631579,0.8155859607376561,0.8138013087447947,0.8494943486020226,0.8613920285544319,0.6955855695618468,0.4656658485073349,0.005548949663099485,0.4605263157894737,0,3462,0.38584667228306646,0.8445704478986212,0.8145239301844049,0.7856341189674523,0.0,False,0.06732495511669659,0.8812088569718731,1114
claude-haiku-4-5,0.9370632362747278,0.9272615688227375,0.9480945991278095,0.9413636363636364,0.9327628361858191,-0.00860080017781728,0.9466666666666667,0.9515757109915449,1650,1301,1433,29,1.0,0.9766081871345029,0.9704049844236761,0.5327868852459017,0.17233560090702946,0.8554554023801108,0.0,0.9766081871345029,0.9807852965747702,0.9466666666666667,0.9406060606060606,0.9636363636363636,0.9585858585858587,0.819626342819954,0.533919197192494,0.0745144669044788,0.9322222222222223,0,3505,0.5327868852459017,0.7848234540031468,0.6994037433536917,0.2150537634408602,0.0,False,0.2018140589569161,0.6258503401360545,147
deepseek-ai/DeepSeek-V4-Pro,0.9130693869170892,0.9000878741525018,0.9256696671011186,0.8986567164179105,0.927482057416268,0.02882534099835754,0.9056716417910448,0.8904726181545386,1675,1333,1627,13,0.9197080291970803,0.9272125723738627,0.9478527607361963,0.5450236966824641,0.10480349344978165,0.846665924936953,0.020928171376151286,0.9330024813895782,0.9421009098428453,0.9056716417910448,0.9086567164179105,0.9307462686567164,0.9426865671641791,0.8017053732728527,0.5215929254192662,0.015854141894569955,0.8223322332233223,0,3737,0.5450236966824641,0.8912833590427311,0.8621460048811196,0.696078431372549,0.0,False,0.09898107714701601,0.7962154294032023,458
gemma-4-26b,0.9127428639612583,0.901737887470362,0.9242416067146283,0.9049760191846523,0.9205097087378641,0.015533689553211771,0.9088729016786571,0.9199395770392749,1668,1324,1568,19,0.9407407407407408,0.9403973509933775,0.9678935003915426,0.4478873239436619,0.16911045943304007,0.8164561777236763,0.016721597239903047,0.9428807947019867,0.9486754966887417,0.9088729016786571,0.9046762589928058,0.9268585131894485,0.9280575539568345,0.7556232944825894,0.5166364968537195,0.034482758620689655,0.8200883002207505,0,3617,0.4478873239436619,0.7433111880482405,0.6877502942589934,0.47126436781609193,0.0,False,0.08993157380254153,0.7409579667644184,341
google/gemini-3-flash-preview,0.9292036312282625,0.9187862750877569,0.940808465510486,0.9257322175732218,0.9326750448833034,0.006942827310081667,0.9294680215182307,0.9407796101949025,1673,1334,1622,10,0.9562043795620438,0.9602319801159901,0.9725609756097561,0.5062240663900414,0.17615176151761516,0.8403241358848836,0.014996509560575895,0.9618889809444905,0.9676884838442419,0.9294680215182307,0.9234907352062164,0.9473998804542738,0.9482964734010759,0.7960697674755635,0.528623821667001,0.01823226317875545,0.8923841059602649,0,3814,0.5062240663900414,0.7932480317470727,0.7253426357177983,0.4957983193277311,0.0,False,0.05962059620596206,0.7642276422764228,246
gpt-5.6-luna,0.934155384441403,0.9244769892697882,0.9440821045720174,0.9317908653846154,0.9365199034981906,0.004729038113575168,0.9368990384615384,0.9480421686746988,1664,1328,1637,10,0.9776119402985075,0.973421926910299,0.9649390243902439,0.016393442622950845,0.24369747899159663,0.8305772557069815,0.011676648512342437,0.9742524916943521,0.978405315614618,0.9368990384615384,0.9314903846153846,0.9519230769230769,0.9517227564102565,0.0765807945237755,0.5310033984217499,0.018826793499801823,0.9235880398671097,0,3865,0.016393442622950845,0.7598732507812072,0.7607584828297856,0.3474178403755868,0.0,False,0.07843137254901959,0.6778711484593838,238
llama-3.1-8b-instruct,0.5622109027862796,0.5407192698903872,0.5805740560442748,0.5161386730424388,0.6082831325301205,0.09214445948768168,0.5768081291093844,0.30519969856819895,1673,1327,1536,17,0.7664233576642335,0.5990057995028998,0.44776119402985076,0.3986607142857137,0.05114401076716016,0.5097537457350542,0.033696361280503975,0.6354598177299089,0.6603148301574151,0.5768081291093844,0.6001195457262403,0.6461446503287508,0.7204622434747957,0.5166539072184035,0.34307008743012757,0.03884264764169639,0.1594922737306843,0,2662,0.3986607142857137,0.5928597840819652,0.5740417661796997,0.5824790307548928,0.0,False,0.12418124719605203,0.8246747420367878,3715
llama-3.3-70b-instruct,0.9026488200226743,0.8891080617495712,0.9158861780430712,0.8902550091074681,0.9150426309378806,0.0247876218304125,0.8998178506375227,0.8792569659442725,1647,1292,1521,29,0.9407407407407408,0.9283305227655987,0.9331723027375202,0.3691275167785234,0.0931098696461825,0.8196394112527905,0.017969261184466095,0.9317032040472175,0.93929173693086,0.8998178506375227,0.899210686095932,0.9234972677595629,0.92521756729407,0.7001871714814206,0.5132125933893427,0.0550931430836306,0.7833894500561167,0,3487,0.3691275167785234,0.8037262941597588,0.7841024648840023,0.42438271604938266,0.0,False,0.2122905027932961,0.6945996275605214,537
